Province_State,Country,Last_Update,Confirmed,Deaths,Recovered,Province_State,Lat,Lon
"Archuleta, Colorado",US,2020-07-31,31,0,0,"Archuleta, Colorado",37.19474156,-107.04768670000001
"Arecibo, Puerto Rico",US,2020-07-31,237,0,0,"Arecibo, Puerto Rico",18.406631,-66.675077
"Arenac, Michigan",US,2020-07-31,40,3,0,"Arenac, Michigan",44.0636262,-83.89277559
"Arkansas, Arkansas",US,2020-07-31,183,1,0,"Arkansas, Arkansas",34.29145151,-91.37277296
"Arlington, Virginia",US,2020-07-31,2874,135,0,"Arlington, Virginia",38.8767675,-77.10139853
"Armstrong, Pennsylvania",US,2020-07-31,178,6,0,"Armstrong, Pennsylvania",40.81665618,-79.46290811
"Armstrong, Texas",US,2020-07-31,5,0,0,"Armstrong, Texas",34.96507426,-101.3574874
"Aroostook, Maine",US,2020-07-31,32,1,0,"Aroostook, Maine",46.65926321,-68.59841248
"Arroyo, Puerto Rico",US,2020-07-31,76,0,0,"Arroyo, Puerto Rico",17.998457000000005,-66.056546
"Arthur, Nebraska",US,2020-07-31,0,0,0,"Arthur, Nebraska",41.56896142,-101.6959559
"Ascension, Louisiana",US,2020-07-31,2444,67,0,"Ascension, Louisiana",30.20406249,-90.91328409999998
"Ashe, North Carolina",US,2020-07-31,109,1,0,"Ashe, North Carolina",36.43296207,-81.49862729
"Ashland, Ohio",US,2020-07-31,123,3,0,"Ashland, Ohio",40.84772277,-82.27280781
"Ashland, Wisconsin",US,2020-07-31,15,0,0,"Ashland, Wisconsin",46.31956891,-90.67837132
"Ashley, Arkansas",US,2020-07-31,214,4,0,"Ashley, Arkansas",33.19153461,-91.76984709999999
"Ashtabula, Ohio",US,2020-07-31,530,44,0,"Ashtabula, Ohio",41.70860332,-80.74830218
"Asotin, Washington",US,2020-07-31,24,2,0,"Asotin, Washington",46.18894415,-117.2022851
"Assumption, Louisiana",US,2020-07-31,531,19,0,"Assumption, Louisiana",29.89946234,-91.06461642
"Atascosa, Texas",US,2020-07-31,405,13,0,"Atascosa, Texas",28.89333001,-98.52730485
"Atchison, Kansas",US,2020-07-31,59,0,0,"Atchison, Kansas",39.53185661,-95.30870026
"Atchison, Missouri",US,2020-07-31,11,0,0,"Atchison, Missouri",40.43238737,-95.42970639
"Athens, Ohio",US,2020-07-31,334,1,0,"Athens, Ohio",39.33425634,-82.04278644
"Atkinson, Georgia",US,2020-07-31,276,2,0,"Atkinson, Georgia",31.29633502,-82.87545866
"Atlantic, New Jersey",US,2020-07-31,3331,250,0,"Atlantic, New Jersey",39.47538693,-74.65848483
"Atoka, Oklahoma",US,2020-07-31,60,0,0,"Atoka, Oklahoma",34.37366573,-96.03802487
"Attala, Mississippi",US,2020-07-31,480,23,0,"Attala, Mississippi",33.08658803,-89.57838564
"Audrain, Missouri",US,2020-07-31,190,1,0,"Audrain, Missouri",39.215877,-91.84242683
"Audubon, Iowa",US,2020-07-31,28,1,0,"Audubon, Iowa",41.6844628,-94.90581859
"Auglaize, Ohio",US,2020-07-31,192,5,0,"Auglaize, Ohio",40.55998859,-84.22421429999999
"Augusta, Virginia",US,2020-07-31,246,4,0,"Augusta, Virginia",38.16404586,-79.12461614
"Aurora, South Dakota",US,2020-07-31,37,0,0,"Aurora, South Dakota",43.71757685,-98.56050467
"Austin, Texas",US,2020-07-31,211,3,0,"Austin, Texas",29.88548725,-96.27736949
"Autauga, Alabama",US,2020-07-31,963,20,0,"Autauga, Alabama",32.53952745,-86.64408227
"Avery, North Carolina",US,2020-07-31,82,0,0,"Avery, North Carolina",36.07569796,-81.92308483
"Avoyelles, Louisiana",US,2020-07-31,895,26,0,"Avoyelles, Louisiana",31.07796211,-92.00079449
"Baca, Colorado",US,2020-07-31,14,0,0,"Baca, Colorado",37.31940883,-102.5603223
"Bacon, Georgia",US,2020-07-31,399,6,0,"Bacon, Georgia",31.55456473,-82.45936528
"Bailey, Texas",US,2020-07-31,151,3,0,"Bailey, Texas",34.06854817,-102.8299707
"Baker, Florida",US,2020-07-31,343,4,0,"Baker, Florida",30.33060121,-82.28467476
"Baker, Georgia",US,2020-07-31,55,3,0,"Baker, Georgia",31.32669878,-84.44218806
"Baker, Oregon",US,2020-07-31,25,0,0,"Baker, Oregon",44.70915557,-117.6749883
"Baldwin, Alabama",US,2020-07-31,2984,20,0,"Baldwin, Alabama",30.72774991,-87.72207058
"Baldwin, Georgia",US,2020-07-31,913,38,0,"Baldwin, Georgia",33.06882326,-83.24701748
"Ballard, Kentucky",US,2020-07-31,30,0,0,"Ballard, Kentucky",37.05842757,-88.99427697
"Baltimore, Maryland",US,2020-07-31,11615,545,0,"Baltimore, Maryland",39.45784712,-76.62911955
"Baltimore City, Maryland",US,2020-07-31,11004,406,0,"Baltimore City, Maryland",39.30211911,-76.61151012
"Bamberg, South Carolina",US,2020-07-31,414,15,0,"Bamberg, South Carolina",33.21927586,-81.05659969
"Bandera, Texas",US,2020-07-31,83,1,0,"Bandera, Texas",29.74619598,-99.24598147
"Banks, Georgia",US,2020-07-31,228,3,0,"Banks, Georgia",34.35607081,-83.49644388
"Banner, Nebraska",US,2020-07-31,2,0,0,"Banner, Nebraska",41.54634427,-103.7114332
"Bannock, Idaho",US,2020-07-31,299,2,0,"Bannock, Idaho",42.67002716,-112.2233311
"Baraga, Michigan",US,2020-07-31,5,0,0,"Baraga, Michigan",46.6720582,-88.36363591
"Barber, Kansas",US,2020-07-31,4,0,0,"Barber, Kansas",37.2288586,-98.68460053
"Barbour, Alabama",US,2020-07-31,539,5,0,"Barbour, Alabama",31.868263,-85.3871286
"Barbour, West Virginia",US,2020-07-31,29,1,0,"Barbour, West Virginia",39.1307219,-80.00350858
"Barceloneta, Puerto Rico",US,2020-07-31,65,0,0,"Barceloneta, Puerto Rico",18.445532999999998,-66.56053100000001
"Barnes, North Dakota",US,2020-07-31,31,0,0,"Barnes, North Dakota",46.93579637,-98.06605978
"Barnstable, Massachusetts",US,2020-07-31,1742,155,0,"Barnstable, Massachusetts",41.72980578,-70.28854339
"Barnwell, South Carolina",US,2020-07-31,313,4,0,"Barnwell, South Carolina",33.26679302,-81.43584352
"Barranquitas, Puerto Rico",US,2020-07-31,172,0,0,"Barranquitas, Puerto Rico",18.201592,-66.30963
"Barren, Kentucky",US,2020-07-31,302,2,0,"Barren, Kentucky",36.96469836,-85.93338945
"Barron, Wisconsin",US,2020-07-31,207,3,0,"Barron, Wisconsin",45.42372701,-91.84833627
"Barrow, Georgia",US,2020-07-31,1030,32,0,"Barrow, Georgia",33.99148694,-83.71436292
"Barry, Michigan",US,2020-07-31,169,2,0,"Barry, Michigan",42.59513984,-85.30834519
"Barry, Missouri",US,2020-07-31,213,0,0,"Barry, Missouri",36.70978521,-93.82919888
"Bartholomew, Indiana",US,2020-07-31,715,47,0,"Bartholomew, Indiana",39.20744865,-85.89558181
"Barton, Kansas",US,2020-07-31,104,3,0,"Barton, Kansas",38.47889676,-98.75636726
"Barton, Missouri",US,2020-07-31,64,0,0,"Barton, Missouri",37.50207671,-94.34757022
"Bartow, Georgia",US,2020-07-31,1495,55,0,"Bartow, Georgia",34.23732119,-84.83887523
"Bastrop, Texas",US,2020-07-31,1277,18,0,"Bastrop, Texas",30.10370699,-97.31206354
"Bates, Missouri",US,2020-07-31,34,1,0,"Bates, Missouri",38.25271289,-94.34113157
"Bath, Kentucky",US,2020-07-31,32,1,0,"Bath, Kentucky",38.14735938,-83.74588932
"Bath, Virginia",US,2020-07-31,4,0,0,"Bath, Virginia",38.05852573,-79.73912095
"Baxter, Arkansas",US,2020-07-31,61,0,0,"Baxter, Arkansas",36.28784385,-92.33782872
"Bay, Florida",US,2020-07-31,3357,21,0,"Bay, Florida",30.26548745,-85.62122584
"Bay, Michigan",US,2020-07-31,536,31,0,"Bay, Michigan",43.70639106,-83.98731479
"Bayamon, Puerto Rico",US,2020-07-31,1053,0,0,"Bayamon, Puerto Rico",18.34946,-66.168435
