Province_State,Country,Last_Update,Confirmed,Deaths,Recovered,Province_State,Lat,Lon
"Arthur, Nebraska",US,2020-07-23,0,0,0,"Arthur, Nebraska",41.56896142,-101.6959559
"Ascension, Louisiana",US,2020-07-23,2077,65,0,"Ascension, Louisiana",30.20406249,-90.91328409999998
"Ashe, North Carolina",US,2020-07-23,79,1,0,"Ashe, North Carolina",36.43296207,-81.49862729
"Ashland, Ohio",US,2020-07-23,103,4,0,"Ashland, Ohio",40.84772277,-82.27280781
"Ashland, Wisconsin",US,2020-07-23,11,0,0,"Ashland, Wisconsin",46.31956891,-90.67837132
"Ashley, Arkansas",US,2020-07-23,142,4,0,"Ashley, Arkansas",33.19153461,-91.7698471
"Ashtabula, Ohio",US,2020-07-23,489,44,0,"Ashtabula, Ohio",41.70860332,-80.74830218
"Asotin, Washington",US,2020-07-23,22,2,0,"Asotin, Washington",46.18894415,-117.2022851
"Assumption, Louisiana",US,2020-07-23,463,18,0,"Assumption, Louisiana",29.89946234,-91.06461642
"Atascosa, Texas",US,2020-07-23,379,3,0,"Atascosa, Texas",28.89333001,-98.52730485
"Atchison, Kansas",US,2020-07-23,50,0,0,"Atchison, Kansas",39.53185661,-95.30870026
"Atchison, Missouri",US,2020-07-23,7,0,0,"Atchison, Missouri",40.43238737,-95.42970639
"Athens, Ohio",US,2020-07-23,292,1,0,"Athens, Ohio",39.33425634,-82.04278644
"Atkinson, Georgia",US,2020-07-23,246,2,0,"Atkinson, Georgia",31.29633502,-82.87545866
"Atlantic, New Jersey",US,2020-07-23,3161,240,0,"Atlantic, New Jersey",39.47538693,-74.65848483
"Atoka, Oklahoma",US,2020-07-23,48,0,0,"Atoka, Oklahoma",34.37366573,-96.03802487
"Attala, Mississippi",US,2020-07-23,432,23,0,"Attala, Mississippi",33.08658803,-89.57838564
"Audrain, Missouri",US,2020-07-23,168,1,0,"Audrain, Missouri",39.215877,-91.84242683
"Audubon, Iowa",US,2020-07-23,22,1,0,"Audubon, Iowa",41.6844628,-94.90581859
"Auglaize, Ohio",US,2020-07-23,147,5,0,"Auglaize, Ohio",40.55998859,-84.22421429999999
"Augusta, Virginia",US,2020-07-23,230,2,0,"Augusta, Virginia",38.16404586,-79.12461614
"Aurora, South Dakota",US,2020-07-23,36,0,0,"Aurora, South Dakota",43.71757685,-98.56050467
"Austin, Texas",US,2020-07-23,169,0,0,"Austin, Texas",29.88548725,-96.27736949
"Autauga, Alabama",US,2020-07-23,863,20,0,"Autauga, Alabama",32.53952745,-86.64408227
"Avery, North Carolina",US,2020-07-23,65,0,0,"Avery, North Carolina",36.07569796,-81.92308483
"Avoyelles, Louisiana",US,2020-07-23,741,23,0,"Avoyelles, Louisiana",31.07796211,-92.00079449
"Baca, Colorado",US,2020-07-23,14,0,0,"Baca, Colorado",37.31940883,-102.5603223
"Bacon, Georgia",US,2020-07-23,355,5,0,"Bacon, Georgia",31.55456473,-82.45936528
"Bailey, Texas",US,2020-07-23,126,1,0,"Bailey, Texas",34.06854817,-102.8299707
"Baker, Florida",US,2020-07-23,250,4,0,"Baker, Florida",30.33060121,-82.28467476
"Baker, Georgia",US,2020-07-23,46,3,0,"Baker, Georgia",31.32669878,-84.44218806
"Baker, Oregon",US,2020-07-23,16,0,0,"Baker, Oregon",44.70915557,-117.6749883
"Baldwin, Alabama",US,2020-07-23,2164,15,0,"Baldwin, Alabama",30.72774991,-87.72207058
"Baldwin, Georgia",US,2020-07-23,770,37,0,"Baldwin, Georgia",33.06882326,-83.24701748
"Ballard, Kentucky",US,2020-07-23,26,0,0,"Ballard, Kentucky",37.05842757,-88.99427697
"Baltimore, Maryland",US,2020-07-23,10153,519,0,"Baltimore, Maryland",39.45784712,-76.62911955
"Baltimore City, Maryland",US,2020-07-23,9738,390,0,"Baltimore City, Maryland",39.30211911,-76.61151012
"Bamberg, South Carolina",US,2020-07-23,328,3,0,"Bamberg, South Carolina",33.21927586,-81.05659969
